place,address
BBQ Pontoon, 
Empire Builder, 
Chicago Personal Neighborhood Tours, 
Weird Chicago Tours, 
Haunted and Gangster Tour in Chicago, 
ChicaGo By Boat, 
Chicago Movie Tours, 
Wrigley Field Tours, 
Wendella Tours & Cruises, 
Chicago Boat Rentals, 
KnockOut Charters - Private Tours, 
Auditorium Theatre, 
Blackhawk Boat Tours, 
Chicago Electric Boat Company, 
The Salty Dog Sailing Co., 
Chicago Chinese Cultural Institute, 
Museum Hack Chicago, 
Chica-GO Off The Beaten Path Tours, 
CityPASS, 
InstaGreeter Tour, 
Windy City Sailing, 
Chicago Running Tours & More, 
See Sight Tours Chicago, 
"Yachti Charters, Tender & Tours", 
Chef Driven Food Tours, 
Frank Lloyd Wright Trust Tours, 
Tour Through A Lens, 
Chicagoland Skydiving Center, 
Wild Onion Walks Chicago, 
Insidechicagowalkingtours, 
Fat Tire Tours, 
Red Hill Birding, 
Ghost City Tours of Chicago, 
Chicago Segway Tour, 
Chicago Cycleboats, 
Windy City Ghosts, 
Seabird Sailing, 
Chicagoland Brews Cruise, 
606 Tours Chicago, 
New Adventure Sailing, 
Nightly Spirits, 
Dovetail Brewery, 
Chicago Sailboat Charters, 
Chicago Hauntings, 
WALKIN' WITH COLIN - A*SHOW*ON*THE*GO!, 
Rotorzen Helicopters Inc, 
Chicago Bike Adventures, 
3rd Coast Charters, 
Chicago from the Lake Ltd, 
Loop Tour Train, 
City Cruises Chicago Chicago River, 
Phenix Sailing Charters, 
Chicago Pedway Tour, 
Chicago Urban Adventures, 
Angler Charters, 
Richard Gray Gallery,"875 N Michigan Ave Ste 2503 Suite 3800, Chicago, IL 60611-5075"
Trap Door Theatre,"1655 W Cortland St, Chicago, IL 60622-1119"
Caldwell Woods,"6200 W Devon Ave, Chicago, IL 60646-3702"
Mission Theater,"1501 N Kingsbury St, Chicago, IL 60642-2533"
St. Malachy and Precious Blood Church,"2248 W Washington Blvd, Chicago, IL 60612-2236"
Shipwreck of the Silver Spray,"East 49th Street, Chicago, IL 60615"
Tree Studio Complex,"4 E Ohio St, Chicago, IL 60611-4749"
The Public House Theatre,"3914 N Clark St, Chicago, IL 60613-2602"
Bronzeville Children's Museum,"9301 S Stony Island Ave, Chicago, IL 60617-3644"
United Club,"10000 W Ohare Ave Terminal 2, Concourse F, Gate F-8, Chicago, IL 60666-6000"
South Side Community Art Center,"3831 S Michigan Ave, Chicago, IL 60653-1513"
St. Alphonsus Roman catholic Church,"2950 North Southport Ave. Chicago, Chicago, IL 60657-4120"
Bryan Lathrop House,"120 E Bellevue Pl, Chicago, IL 60611-1112"
Cards Against Humanity Theater,"1551 W Homer St, Chicago, IL 60642-1221"
St. Thomas the Apostle Catholic Parish,"5472 S Kimbark Ave, Chicago, IL 60615-5290"
St. Mary of the Lake Parish,"4200 N Sheridan Rd, Chicago, IL 60613-1697"
Route 66 End Sign,"98-66 E Jackson Blvd, Chicago, IL 60604-2504"
Curly Tail Fine Art,"16 W Erie St First Floor, Chicago, IL 60654-5087"
William Shakespeare Monument, 
The House Theatre of Chicago,"1543 W Division St, Chicago, IL 60642-3337"
Alphawood Gallery,"2401 N Halsted St, Chicago, IL 60614-2451"
Johnny Twist Blues Museum,"6455 S Cottage Grove Ave, Chicago, IL 60637-3511"
Rolling Stones Records,"7300 W Irving Park Rd, Chicago, IL 60706-7224"
McKinley Park,"2210 W Pershing Rd, Chicago, IL 60609-2209"
The Edge Theater,"5451 N Broadway St, Chicago, IL 60640-1703"
Vosges Haut-Chocolat,"10000 W Ohare Ave Terminal 3, Concourse H, Gate H-4, Chicago, IL 60666-6000"
Zolla/Lieberman Gallery,"325 W Huron St, Chicago, IL 60654-3636"
Sol LeWitt's Lines in Four Directions,"10 W Jackson Blvd, Chicago, IL 60604-3908"
Thomas Masters Gallery,"245 W North Ave, Chicago, IL 60610-1261"
Chinese American Veterans Memorial,"S Archer Avenue, Chicago, IL 60616"
McCormick Freedom Project,"435 N Michigan Ave, Chicago, IL 60611-4066"
InMotion Entertainment,"10000 W Ohare Ave Terminal 3, Concourse H, Gate H-2, Chicago, IL 60666-6000"
Kavi Gupta Gallery (formerly Vedanta Gallery),"835 W Washington Blvd, Chicago, IL 60607-2330"
The Murphy,"50 E Erie St, Chicago, IL 60611-2730"
Hoypoloi,"10000 W Ohare Ave Terminal 2, Concourse E, Gate E-5, Chicago, IL 60666-6000"
The Gift Theatre,"4802 N Milwaukee Ave, Chicago, IL 60630-2104"
Christkindlemarket,"50 W Washington St, Chicago, IL 60602-1305"
McCormick Tribune Center, 
Maya Polsky Gallery,"215 W Superior St, Chicago, IL 60654-3528"
Our Lady of Lourdes Church,"4640 N Ashland Ave, Chicago, IL 60640-4631"
Dufry,"10000 W Ohare Ave Terminal 5, Concourse M, Gate M-14, Chicago, IL 60666-6000"
Temple Sholom,"3480 N Lake Shore Dr, Chicago, IL 60657-2869"
Man Enters the Cosmos, 
Graham Foundation for Advanced Studies in the Fine Arts,"4 W Burton Pl Madlener House, Chicago, IL 60610-1416"
Alexander Hamilton Monument,"2045 N Lincoln Park W, Chicago, IL 60614-4707"
pH Comedy Theater,"1515 W Berwyn Ave, Chicago, IL 60640-2109"
Thirty Five E Wacker,"35 E Wacker Dr Pl # 260, Chicago, IL 60601-2314"
Comfort Station,"2579 N Milwaukee Ave, Chicago, IL 60647-6757"
Bust Of Sir George Solti,"337 E Randolph Dr Grant Park, Chicago, IL 60601-7403"
Chicago Women's Park & Gardens,"1827 S Indiana Ave, Chicago, IL 60616-1308"
Redmoon Theater,"2120 S Jefferson St #3, Chicago, IL 60616-1842"
Gallagher Way,"3635 N Clark St, Chicago, IL 60613-3807"
Holtschneider Performance Center,"2330 N Halsted St, Chicago, IL 60614-4500"
Raven Theatre,"6157 N Clark St, Chicago, IL 60660-2423"
All Saints - St Anthony,"518 W 28th Pl, Chicago, IL 60616-2508"
ETA Creative Arts Foundation,"7558 S South Chicago Ave, Chicago, IL 60619-2644"
The Dance Center-Columbia College Chicago,"1306 S Michigan Ave, Chicago, IL 60605-2602"
Congress Theater,"2135 N Milwaukee Ave, Chicago, IL 60647-4014"
National Archives at Chicago,"7358 S Pulaski Rd, Chicago, IL 60629-5898"
Steep Theatre Co,"1115 W Berwyn Ave, Chicago, IL 60640-2301"
Anshe Emet Synagogue,"3751 N Broadway St, Chicago, IL 60613-4104"
Cooking & Hospitality Institute of Chicago,"361 W Chestnut St, Chicago, IL 60610-3050"
Fred Anderson Dog Park,"1611 S Wabash Ave, Chicago, IL 60616-1217"
Filament Theatre,"4041 N Milwaukee Ave, Chicago, IL 60641-1834"
Douglas Dawson Gallery,"224 S Michigan Ave Suite 266, Chicago, IL 60604-2505"
DePaul University Merle Reskin Theatre,"60 E Balbo Ave, Chicago, IL 60605-2120"
"St. Therese Chinese Catholic Church, Chicago","218 W Alexander St, Chicago, IL 60616-1910"
First Lutheran Church of the Trinity,"643 W 31st St, Chicago, IL 60616-3069"
Newcity,"1457 N Halsted St, Chicago, IL 60642, Chicago, IL 60642-2640"
Freedom Wall,"325 W Huron St, Chicago, IL 60654-3636"
Noble Fool Theater,"16 W Randolph St, Chicago, IL 60601-3501"
Lake Effect Brewing Company,"4727 W Montrose Ave Suit C, Chicago, IL 60641-1504"
MontBlanc,"10000 W Ohare Ave Terminal 3, Concourse K, Gate K-2, Chicago, IL 60666-6000"
Grave of Andreas Von Zirngibl, 
The Chicago Sketch Comedy Festival,"1225 W Belmont Ave, Chicago, IL 60657-3205"
Greene Vardiman Black Statue,"37 E North Blvd, Chicago, IL 60610"
West Side Grounds,"South Wolcott Avenue and West Polk Street, Chicago, IL 60610"
Mana Contemporary,"2233 S Throop St, Chicago, IL 60608-5002"
Jean Baptiste Point Du Sable Homesite,"401 N Michigan Ave, Chicago, IL 60611-4255"
St Adalbert Church,"1650 W 17th St, Chicago, IL 60608-2038"
Polish Triangle, 
Oakley,"10000 W Ohare Ave Terminal 3, Concourse H, Gate H-1, Chicago, IL 60666-6000"
Foodseum,"109 N Dearborn St Block 37, Second Floor, Chicago, IL 60602-1501"
Woman Made Gallery,"2150 S Canalport Ave #4a-3, Chicago, IL 60608-4559"
Erwin Pearl,"10000 W Ohare Ave Terminal 3, Concourse H, Gate H-6, Chicago, IL 60666-6000"
About Face Theater,"1229 W Belmont Ave, Chicago, IL 60657-3205"
Gage Gallery,"425 S Wabash Ave Roosevelt University, Chicago, IL 60605-1208"
"Illinois Artisans, Chicago","100 W Randolph St Ste 2-200, Chicago, IL 60601-3228"
St. Volodymyr Cathedral,"2250 W Cortez St, Chicago, IL 60622-3517"
Brookstone,"10000 W Ohare Ave Terminal 2, Concourse F, Gate F-8, Chicago, IL 60666-6000"
Explore and Much More,"3827 N Southport Ave, Chicago, IL 60613-2880"
Barbara's Bookstore,"10000 W Ohare Ave Terminal 1, Concourse C, Gate C-15, Chicago, IL 60666-6000"
The Leigh Gallery,"3306 N Halsted St, Chicago, IL 60657-4067"
Jay Robert's Antique Warehouse,"149 W Kinzie St, Chicago, IL 60654-4514"
Illinois Institute of Technology Main Building and Machinery Hall,"3300 S Federal St, Chicago, IL 60616-3732"
George Wellington “Cap’n” Streeter, 
Holy Innocents Church,"743 N Armour St, Chicago, IL 60642-5299"
Sunglass Hut,"10000 W Ohare Ave Terminal 1, Concourse C, Gate C-9, Chicago, IL 60666-6000"
Day Frog,"233 E Erie St, Chicago, IL 60611-2926"
Hyde Park Chamber of Commerce,"1715 E 55th St, Chicago, IL 60615-5954"
Chicago Center for the Performing Arts,"777 N Green St, Chicago, IL 60642-5470"
Monument to the Great Northern Migration,"2620 South King Dr, Chicago, IL 60616"
Remy Bumppo Theatre Company,"2257 N. Lincoln Ave., Chicago, IL 60613-4260"
Galleria 1712,"1712 W North Ave, Chicago, IL 60622-7850"
Ballet Chicago,"218 S Wabash Ave, Chicago, IL 60604-2444"
Lake View Presbyterian Church,"716 W Addison St, Chicago, IL 60613-4416"
Galerie F,"2381 N Milwaukee Ave, Chicago, IL 60647-2924"
HBTV Hearty Boys,"3819 N Broadway St, Chicago, IL 60613-3217"
Bob Newhart Statue,"600 E Grand Ave, Chicago, IL 60611-3419"
Architech Gallery,"730 N Franklin St, Chicago, IL 60654-3563"
Under The Gun Theater,"956 W Newport Avenue Second Floor, Chicago, IL 60657-2313"
Shrine of our Lady of Pompeii,"1224 W Lexington St, Chicago, IL 60607-4111"
The Blue Theatre,"1690 W Gregory St, Chicago, IL 60640-1108"
Burnham Greenway,"E. 100th St, Chicago, IL 60633"
Senior Citizen Memorial Playlot Park,"2228 N Oakley Ave, Chicago, IL 60647-3236"
Museum of Private Art Collections: Featuring the Work of Dali and Lamb,"465 E Illinois St, Chicago, IL 60611-4305"
Storefront Theater,"66 E Randolph St, Chicago, IL 60601-7504"
Albany Park Theater Project,"5100 N Ridgeway Ave, Chicago, IL 60625-6034"
The Spice House,"1512 N Wells St, Chicago, IL 60610-1308"
Room X Escape,"205 W Randolph St Suite 750, Chicago, IL 60606-1867"
Unabridged Books,"3251 N Broadway St, Chicago, IL 60657-3571"
Hamilton,"18 W Monroe St CIBC Theatre, Chicago, IL 60603-2400"
Chicago Transit Authority - CTA, 
Glessner House Museum,"1800 S Prairie Ave, Chicago, IL 60616-1320"
Chicago History Museum,"1601 N Clark St, Chicago, IL 60614-6038"
